time,altitude,v_down
2025-12-19T18:06:16.179812,41.31,-0.43
2025-12-19T18:06:16.230869,41.33,-0.42
2025-12-19T18:06:16.282053,41.35,-0.15
2025-12-19T18:06:16.333848,41.35,0.12
2025-12-19T18:06:16.385042,41.33,0.53
2025-12-19T18:06:16.435676,41.28,1.0
2025-12-19T18:06:16.486908,41.24,1.29
2025-12-19T18:06:16.537690,41.15,1.69
2025-12-19T18:06:16.588849,41.07,2.03
2025-12-19T18:06:16.640428,40.95,2.43
2025-12-19T18:06:16.691237,40.85,2.73
2025-12-19T18:06:16.742295,40.69,3.15
2025-12-19T18:06:16.794407,40.57,3.46
2025-12-19T18:06:16.845353,40.35,3.98
2025-12-19T18:06:16.896517,40.12,4.45
2025-12-19T18:06:16.949517,39.94,4.81
2025-12-19T18:06:17.001196,39.62,5.38
2025-12-19T18:06:17.052436,39.4,5.74
2025-12-19T18:06:17.103351,39.07,6.24
2025-12-19T18:06:17.154697,38.83,6.58
2025-12-19T18:06:17.205463,38.41,7.09
2025-12-19T18:06:17.256674,37.95,7.51
2025-12-19T18:06:17.307879,37.72,7.71
2025-12-19T18:06:17.358553,37.24,8.04
2025-12-19T18:06:17.409729,36.93,8.14
2025-12-19T18:06:17.461074,36.49,8.16
2025-12-19T18:06:17.511927,36.17,8.12
2025-12-19T18:06:17.562872,35.68,8.02
2025-12-19T18:06:17.614830,35.37,7.95
2025-12-19T18:06:17.665827,34.95,7.87
2025-12-19T18:06:17.717086,34.46,7.8
2025-12-19T18:06:17.767860,34.16,7.77
2025-12-19T18:06:17.818776,33.67,7.76
2025-12-19T18:06:17.869748,33.43,7.77
2025-12-19T18:06:17.920907,32.94,7.79
2025-12-19T18:06:17.971965,32.63,7.8
2025-12-19T18:06:18.022676,32.2,7.82
2025-12-19T18:06:18.075044,31.9,7.83
2025-12-19T18:06:18.126581,31.4,7.84
2025-12-19T18:06:18.177356,30.97,7.85
2025-12-19T18:06:18.228567,30.66,7.85
2025-12-19T18:06:18.279338,30.16,7.86
2025-12-19T18:06:18.330462,29.85,7.86
2025-12-19T18:06:18.381480,29.35,7.87
2025-12-19T18:06:18.433216,29.1,7.87
2025-12-19T18:06:18.484304,28.59,7.88
2025-12-19T18:06:18.535798,28.28,7.88
2025-12-19T18:06:18.587285,27.84,7.89
2025-12-19T18:06:18.637944,27.34,7.89
2025-12-19T18:06:18.689800,27.03,7.89
2025-12-19T18:06:18.741066,26.59,7.89
2025-12-19T18:06:18.792296,26.27,7.9
2025-12-19T18:06:18.843282,25.77,7.9
2025-12-19T18:06:18.895202,25.46,7.9
2025-12-19T18:06:18.946400,25.02,7.9
2025-12-19T18:06:18.998054,24.52,7.9
2025-12-19T18:06:19.050432,24.2,7.91
2025-12-19T18:06:19.101311,23.7,7.91
2025-12-19T18:06:19.152290,23.38,7.91
2025-12-19T18:06:19.203945,22.94,7.92
2025-12-19T18:06:19.255170,22.63,7.92
2025-12-19T18:06:19.306028,22.18,7.91
2025-12-19T18:06:19.356834,21.68,7.91
2025-12-19T18:06:19.408089,21.37,7.92
2025-12-19T18:06:19.459298,20.86,7.92
2025-12-19T18:06:19.510187,20.61,7.92
2025-12-19T18:06:19.560936,20.1,7.92
2025-12-19T18:06:19.612305,19.79,7.92
2025-12-19T18:06:19.663801,19.34,7.93
2025-12-19T18:06:19.715067,19.03,7.93
2025-12-19T18:06:19.765865,18.52,7.93
2025-12-19T18:06:19.816740,18.08,7.93
2025-12-19T18:06:19.867563,17.7,7.93
2025-12-19T18:06:19.918563,17.25,7.93
2025-12-19T18:06:19.969616,16.94,7.93
2025-12-19T18:06:20.020870,16.5,7.93
2025-12-19T18:06:20.071731,16.18,7.93
2025-12-19T18:06:20.122898,15.67,7.93
2025-12-19T18:06:20.175001,15.36,7.93
2025-12-19T18:06:20.226081,14.91,7.93
2025-12-19T18:06:20.276964,14.41,7.94
2025-12-19T18:06:20.328341,14.09,7.93
2025-12-19T18:06:20.379353,13.64,7.94
2025-12-19T18:06:20.430462,13.33,7.94
2025-12-19T18:06:20.481151,12.82,7.93
2025-12-19T18:06:20.532133,12.5,7.93
2025-12-19T18:06:20.583217,11.99,7.94
2025-12-19T18:06:20.635470,11.74,7.94
2025-12-19T18:06:20.687208,11.23,7.93
2025-12-19T18:06:20.737972,10.79,7.93
2025-12-19T18:06:20.789023,10.47,7.93
2025-12-19T18:06:20.839918,9.96,7.93
2025-12-19T18:06:20.890983,9.65,7.93
2025-12-19T18:06:20.941741,9.2,7.93
2025-12-19T18:06:20.992548,8.88,7.93
2025-12-19T18:06:21.043734,8.37,7.93
2025-12-19T18:06:21.095995,8.06,7.93
2025-12-19T18:06:21.147422,7.55,7.93
2025-12-19T18:06:21.198335,7.1,7.93
2025-12-19T18:06:21.249302,6.79,7.93
2025-12-19T18:06:21.300366,6.34,7.93
2025-12-19T18:06:21.351417,6.02,7.93
2025-12-19T18:06:21.402689,5.51,7.93
2025-12-19T18:06:21.453600,5.2,7.93
2025-12-19T18:06:21.504523,4.75,7.93
2025-12-19T18:06:21.556486,4.37,7.93
2025-12-19T18:06:21.607703,3.93,7.93
